well_i,avg_hz_spacing_ft,avg_vt_spacing_ft,neighbors_considered,adjacency_coverage_i_pct,avg_hz_spacing_ft_unw,avg_vt_spacing_ft_unw
42501366580000,2262.5428468106393,24.316422774694924,18,1.0,2524.3188439907008,24.576249999999973
42501366680100,2991.0035479374274,48.48999999999978,1,0.9999999999999996,2991.0035479374274,48.48999999999978
42501366700100,2588.916779791049,2.350000000000364,1,0.9727915440504868,2588.916779791049,2.350000000000364
42501366750000,3818.2866625082133,84.8606445905908,2,1.0,3829.480005641573,85.11749999999893
42501366760000,2745.6943681596085,35.93717105853533,3,1.0,2745.7070688652107,35.9376666666667
42501366800000,3414.5254808423456,3.9727163372770895,2,1.0,3333.474501902795,3.775000000000091
42501366810000,2387.0297320354275,46.174469702272546,9,1.0,2809.7829224914535,56.04911111111192
42501366820000,2780.3890903908996,38.508474899154606,10,1.0,3227.8760751641285,43.71334999999972
42501366830000,3912.9327311005413,51.764713392179075,4,1.0,3912.915527501438,51.76500000000033
42501366840000,2959.7700427296336,38.81585576295765,2,1.0,3030.7761704655313,40.13999999999987
42501366930000,2870.9363971220505,49.71048490579313,11,1.0,2898.1556551448757,48.81431818181814
42501366970000,2602.119374874105,75.9710413270817,8,1.0,2733.8574770934797,73.48124999999959
42501366990000,2843.224880359647,233.75827985114256,16,1.0,2862.68774647392,246.28884375000024
42501367000100,2886.823415830122,57.28934488428327,10,1.0,2888.0216492582513,57.320649999999475
42501367020000,3215.153695883715,22.159805104255796,6,1.0,3307.125896963016,21.265916666666726
42501367040000,1177.7009533233515,866.3900068704488,10,1.0,1080.8231542184826,1153.4463500000002
42501367100000,2812.773546928942,95.63907397876113,13,1.0,2817.015790003538,95.50430769230724
42501367110000,3077.176674993738,60.44177117617918,11,1.0,3153.5226797793525,55.971909090909236
42501367120000,2559.739276209198,97.11203295267788,10,1.0,2583.2136193895667,95.24539999999998
42501367130000,2567.9538933799763,18.825408786934073,11,1.0,2634.8458138053466,19.05863636363657
42501367170000,,,0,,,
42501367180000,3369.2785711787924,14.993500000000495,1,0.9529431096471469,3369.2785711787924,14.993500000000495
42501367460000,2589.6448241055064,71.52465035687105,7,1.0,2610.382913868368,71.30821428571458
42501367490000,2242.523173672828,33.276259861885606,2,1.0,2276.596390322818,34.27500000000009
42501367500000,2533.512972654624,66.89467204679735,9,1.0,2538.0665089905356,66.61288888888936
42501367520000,2805.9360185515675,64.02977923474272,11,1.0,2760.3755683818017,63.872954545454625
42501367530000,,,0,,,
42501367540000,3054.1744085808014,5.32300000000032,1,0.8991742950343354,3054.1744085808014,5.32300000000032
42501367550000,3114.047525448776,23.92527871844636,9,1.0,3074.0250343011357,23.43122222222246
42501367570000,3754.608517637648,30.195288337232647,2,1.0,3738.8446670353424,30.518750000000182
42501367580000,3054.1065737398962,5.32300000000032,1,0.9495822314664515,3054.1065737398962,5.32300000000032
42501367590000,2659.334214058542,58.623733649581915,11,1.0,2641.2246209127716,56.17863636363638
42501367600000,2747.8073573048487,52.88531490458415,11,1.0,2751.8703443187483,53.11413636363663
42501367610000,1994.8877724256586,30.142729012778084,7,1.0,2020.5906859609165,29.306214285714045
42501367620000,3103.581686130423,31.60196879613296,10,1.0,3118.8225951613945,31.196300000000065
42501367630000,3166.594694060017,56.303087849898255,9,1.0,3157.686642505796,56.35161111111059
42501367640100,2998.493263689478,3.679500000000189,1,1.0,2998.493263689478,3.679500000000189
42501367650000,3125.592600485195,28.50854261876829,4,1.0,3111.471392301787,28.248124999999845
42501367660000,2462.626594677027,58.440310949982205,9,1.0,2455.527864303086,57.26644444444466
42501367670000,2916.6374006854185,42.27923425650667,11,1.0,2921.691739443468,41.27795454545462
42501367680000,2914.5054696851585,61.3254810054526,8,1.0,2959.475526290634,60.91193750000025
42501367690000,2330.7625653747587,31.482340699144917,6,1.0,2366.455023302083,30.83666666666674
42501367710000,2484.1331997775496,103.59321472379524,8,1.0,2544.3627348856703,102.52112500000044
42501367730000,2784.6853359062798,64.98779832319086,11,1.0,2792.524714630333,64.54740909090874
42501367760000,1700.2668452663502,22.174999999999272,1,0.9786322121950731,1700.2668452663502,22.174999999999272
42501367770000,3083.930590999833,68.75988767947774,14,1.0,3127.366685728754,79.5971785714283
42501367780000,2766.0994894809287,58.21318927103211,14,1.0,3076.7956578517774,60.2404285714285
42501367790000,1984.7027070113681,117.2810612546792,3,1.0,1987.0978357706201,117.03166666666705
42501367810000,2808.9252893407706,718.6383813727474,12,1.0,2758.4544932195654,944.5659583333337
42501367850000,2925.0294826558215,41.76078749612511,15,1.0,2915.96433508239,42.40893333333309
42501367880000,3341.0315811404403,30.19366831688645,9,1.0,3322.9697208627117,29.603888888888832
42501367890000,2798.3014096754323,74.75637466299125,9,1.0,2811.833499356301,74.10783333333387
42501367920000,2910.537664111499,32.04916154963215,10,1.0,2920.6630845722325,32.450049999999734
42501367940000,2759.8063666824855,33.12009809404364,9,1.0,2758.409532331581,32.780611111111185
42501367950000,2580.4684933276626,27.117683259295493,5,1.0,2583.72622443832,27.495599999999648
42501367990000,2684.604808664075,30.931193831484688,18,1.0,2988.8206151534705,31.67444444444411
42501368000000,3340.147399235761,35.62090352216199,12,1.0,3477.848877527498,36.31916666666757
42501368010000,2981.5615247136766,59.612735954885466,6,1.0,2932.840298307235,61.79475000000002
42501368020000,2979.6961704402074,41.246825242170324,9,1.0,2913.6138422100075,40.83066666666663
42501368030000,3169.7816566712568,32.658213187980714,9,1.0,3187.5387355163252,34.0407777777778
42501368050000,2934.6962948860846,37.11926883634623,8,1.0,2943.469167538496,36.29975000000013
42501368060000,3269.460803771753,21.12812864013835,5,1.0,3254.779454766852,21.457800000000315
42501368070000,3017.1460608583934,67.88246870145682,2,1.0,3048.0978740977844,68.5649999999996
42501368110000,,,0,,,
42501368120000,2543.09188965378,22.043489959392648,10,1.0,2542.3853955028017,22.03745000000017
42501368140000,3456.3604731191435,17.107361191702523,3,1.0,3456.249252493297,17.10516666666687
42501368170000,2624.6630111371455,811.0392623063753,10,1.0,2658.014772745135,1121.4783500000008
42501368180000,2894.0756195683666,33.93391562066615,6,1.0,2850.7928376065374,34.60316666666631
42501368190000,2988.457692210261,25.156792560021106,8,1.0,2991.3534629058977,25.096499999999992
42501368210000,,,0,,,
42501368230000,2824.478461772835,249.74344722993314,15,1.0,2823.796038428858,256.8464000000006
42501368250000,2770.815332933021,42.189063439093424,11,1.0,2954.045278140478,43.79554545454539
42501368260000,2608.0538778585633,18.191176340554712,15,1.0,2639.7409222691376,18.136333333332974
42501368270000,2726.033472876227,44.01913296007843,13,1.0,3116.767378349912,48.723153846153835
42501368280000,2897.313914728939,41.53534494702176,14,1.0,2880.8828481425276,49.13517857142857
42501368300000,3487.6726597341894,32.31616051383788,8,1.0,3461.962518259015,31.659375000000296
42501368310000,2975.106168462194,46.45503522943913,9,1.0,3086.7895394771353,46.43477777777783
42501368330000,1069.3147269440208,2979.691545909464,10,1.0,1068.0163178656378,2942.7336499999997
42501368330100,1068.116608701931,2928.1716179913915,10,1.0,1074.6627619312435,2919.66915
42501368330200,1055.8342488227397,2913.036125271169,10,1.0,1071.4630799462273,2926.68665
42501368340000,3030.394827845245,51.1139835598521,11,1.0,3059.5385986013575,49.95050000000017
42501368370000,2858.0815241051673,21.25890845337731,21,1.0,3072.5051122505038,25.76604761904751
42501368380200,,,0,,,
42501368410000,3006.1251896083177,38.38101473422008,10,1.0,3002.640555599414,37.96885000000011
42501368450000,2963.258828304627,67.69392692656871,10,1.0,2950.089304867065,66.4762499999999
42501368480000,2608.74575613783,37.51268614740461,16,1.0,2597.337516503831,37.74959375000003
42501368500100,2547.696625709901,39.4487205931529,7,1.0,2662.864714925616,43.62964285714289
42501368510000,2327.9421945194254,47.20320028816502,10,1.0,2359.3402392588923,46.03810000000021
42501368520000,,,0,,,
42501368540000,2991.5346008656306,52.17943806183303,11,1.0,3398.211769993478,61.50954545454508
42501368550000,2439.8772501295407,24.090909562085475,15,1.0,2445.5460621635307,24.479233333333468
42501368560000,2335.1446386279263,56.354762697814884,10,1.0,2363.527336746499,57.108750000000235
42501368570100,2929.305440564756,23.464092412198017,10,1.0,2928.9370744817957,23.59265000000014
42501368730000,3085.233563909421,49.90275117910479,10,1.0,3180.2317091475998,50.87750000000024
42501368750000,1700.2622732356053,22.174999999999272,1,0.9893320768227839,1700.2622732356053,22.174999999999272
42501369040000,2540.9034141430147,251.91171993629646,15,1.0,2564.895109123669,261.4444333333336
42501369050000,2924.7666509238625,7.649058241229721,11,1.0,3040.327359128509,8.401318181818418
42501369080000,2922.249804304362,8.91163762092424,7,1.0,2967.5238363642684,8.915857142857151
42501369090000,2689.9389527484086,128.13276810676913,12,1.0,2864.7588118906624,123.28758333333319
42501369100000,2606.4641901264026,35.75875352219706,12,1.0,2942.742958469896,33.53666666666663
42501369170000,2779.912220616282,11.59754347600536,15,1.0,2735.489291866395,11.627099999999881
42501369180000,3339.380528138495,124.58761112647048,6,1.0,3349.407298119117,127.14491666666633
42501369220000,4023.295145565983,52.05816735904898,5,1.0,4022.3755615219598,51.77159999999985
42501369230000,2965.488412922365,16.287622822683165,3,1.0,3278.3441083619678,17.64816666666684
42501369320000,2655.0634702159764,24.43059331900353,16,1.0,2743.280968677351,24.49521874999988
42501369370000,2461.413909776835,120.7653572125209,9,1.0,2501.7423289973053,119.86188888888854
42501369400000,2563.7965147003733,19.140467546965073,13,1.0,2604.8869853156084,18.911038461538528
42501369420000,2933.1467451081676,30.42566609399363,8,1.0,2886.3338602337135,29.720187499999724
42501369430000,1625.7798756403022,816.1132921385971,10,1.0,1614.8345241156792,1115.2298500000004
42501369440000,3951.571606243633,91.78418824952281,6,1.0,3947.5948955551016,95.14483333333328
42501369460000,2695.4115978107966,7.946147082833894,2,1.0,2679.853855445432,7.987499999999727
42501369470000,2588.870284459537,2.350000000000364,1,0.8245639920714887,2588.870284459537,2.350000000000364
42501369480000,4364.931952950169,8.505000000001019,1,0.9999999999999994,4364.931952950169,8.505000000001019
42501369490000,3940.2371161849182,29.033070002437018,4,1.0,3825.155386760816,31.958750000000464
42501369500000,2135.2481812805254,22.71941591738628,5,1.0,2147.7935419410787,22.560199999999714
42501369510000,2786.011188524012,123.4932317043622,16,1.0,2932.146483765417,122.13459374999996
42501369520000,1230.9182393489614,10.805000000000291,1,0.9901129273129741,1230.9182393489614,10.805000000000291
42501369520100,738.7701001326379,4.918735939266456,2,0.7701968807088063,678.5514792388005,5.4025000000001455
42501369570000,2837.1647782289456,25.056005539026582,15,1.0,2857.3609666633597,27.102933333333326
42501369580000,2147.5974502696245,3.0679622252609557,2,1.0,2147.658534899557,3.067500000000109
42501369590000,3220.465318648271,5.490629444839067,2,1.0,3114.658433384,5.4275000000002365
42501369610000,3065.3578137241693,81.94690251814924,11,1.0,3052.2491038211756,80.35368181818127
42501369620000,3216.5938420263865,55.963427818092825,12,1.0,3275.2268555531014,55.118375000000164
42501369630000,2918.760759242446,46.31971398613473,10,1.0,2969.9343918311183,45.66285000000007
42501369640100,4470.093114793441,8.234999999999673,1,0.9523577233109558,4470.093114793441,8.234999999999673
42501369650000,2870.9044527922647,65.72034799738609,9,1.0,2960.9067087611734,65.3375555555552
42501369670000,1811.636961395723,19.835000000000036,1,0.9564072430301005,1811.6369613957231,19.835000000000036
42501369690000,2738.3997538049857,13.123015499910847,10,1.0,2779.1210405116335,12.802300000000105
42501369700000,2209.301693413598,52.63441503114701,10,1.0,2209.9494961653945,52.58760000000011
42501369710000,2787.492733681324,55.88113730964411,13,1.0,2796.4363523681945,55.76430769230774
42501369750000,3170.010918246339,26.887110251461102,4,1.0,3184.232809790327,27.649625000000015
42501369770000,2396.6837604193197,35.624643261134835,7,1.0,2390.445115737091,35.591499999999805
42501369790000,3257.002590299806,37.060420228958016,11,1.0,3614.66049504346,40.00031818181833
42501369810100,2898.088237467248,30.19767835154035,10,1.0,2961.5821527598364,28.733450000000268
42501369820000,2500.6794551705075,119.62187856590657,13,1.0,2496.697028686267,120.09873076923039
42501369830000,2687.723847133488,16.926795984893083,16,1.0,2685.841000510011,16.82059374999983
42501369840000,2481.6852468863963,28.23965161215319,10,1.0,2441.3214133197857,32.49079999999994
42501369850000,2504.3761588993675,25.070444471517792,14,1.0,2515.6737988725667,25.135607142857225
42501369880100,2991.220796146586,48.48999999999978,1,0.5548899680148595,2991.220796146586,48.48999999999978
42501369900000,2746.413090392705,24.673625215918413,9,1.0,2768.007572979005,24.750333333332897
42501369910000,2869.68988130225,20.977966160341143,10,1.0,2915.047323188879,21.513199999999777
42501369920000,2910.866542935089,18.919523032604836,10,1.0,2925.1820665864047,19.015450000000236
42501369930000,2703.9561334701484,25.86308715731177,21,1.0,2853.4631308961157,31.07076190476203
42501369940000,2970.016663206141,114.22595410244635,12,1.0,3026.629167992593,112.05879166666743
42501369950000,2291.335602792056,51.20106129663407,2,1.0,2292.5836224316254,51.22749999999951
42501369960000,2867.4487795859795,8.077766560519466,8,1.0,2861.748943326564,8.06881250000015
42501370020000,3096.751028669678,40.21808357883972,11,1.0,3090.301143854094,39.84640909090972
42501370030000,2845.9005823254524,11.019201317308687,15,1.0,2811.056173310186,11.402466666666502
42501370040000,1549.8590906647955,22.16669602422274,3,1.0,1550.5283452311005,22.099999999999756
42501370050000,4009.524705759179,5.81687514342411,4,1.0,4040.3754005813607,5.784500000000207
42501370060000,3055.3146685833085,14.14799237112261,10,1.0,3054.829278622442,14.202549999999883
42501370080000,2757.1905454690473,37.30606798823168,14,1.0,2731.222970094322,36.884785714285435
42501370090000,2703.491064223893,15.369367147067045,15,1.0,2689.7593023670684,15.22109999999963
42501370110000,3367.561361908216,42.87730957406226,8,1.0,3374.913945211804,43.170812499999556
42501370120000,592.481634771742,18.62946477558418,2,1.0,595.0757724728421,18.240499999999884
42501370130000,3682.232361949374,10.296831443406365,2,0.6156624148246442,3802.9325992313456,10.19250000000011
42501370140000,2762.735670165098,39.73773345355505,10,1.0,3023.038398347172,44.84145000000008
42501370150000,3104.468807758669,54.33113335547669,8,1.0,3053.499135483976,53.99431249999975
42501370160000,1813.4297359854452,10.289999999999964,1,0.8362667286219563,1813.4297359854452,10.289999999999964
42501370170000,2242.2423470037165,19.37131245375505,13,1.0,2464.3629415212768,20.971115384615516
42501370180000,3268.5369399698884,4.670515541594478,2,1.0,3271.747443879113,4.68224999999984
42501370190000,2577.294095358926,23.868838505964085,16,1.0,2569.3402548410036,24.33146874999983
42501370200000,2611.114913083858,13.265624259801147,8,1.0,2586.4452416476115,13.197624999999903
42501370210000,2522.466719202886,34.014619476416605,9,1.0,2521.697405277319,34.050833333333586
42501370220000,2909.3158408933264,262.847153393398,15,1.0,2910.5919371762584,266.15213333333367
42501370240000,2960.02927168995,36.16202603986933,11,1.0,2949.4885248553173,41.33422727272732
42501370250000,2585.4517125573775,78.32539763778632,11,1.0,2557.235473943794,79.00409090909092
42501370270000,2868.2575888624233,19.587509355556044,9,1.0,2858.934221796402,19.588277777777975
42501370280000,2768.0121450875367,15.360659513791056,3,1.0,2746.201813222531,15.639333333333221
42501370290000,3887.8317311879723,13.090380678235004,5,1.0,3903.0571823203427,13.203000000000065
42501370300000,3213.9487594815523,25.08825826137442,15,1.0,3226.657298143599,24.08859999999992
42501370310000,2633.067023407157,34.50180200758737,15,1.0,3058.147512214653,30.563166666666742
42501370320000,2843.254687712869,34.85468106562375,14,1.0,2775.653747823973,34.46757142857184
42501370350000,3515.9309452451075,79.25702413447968,5,1.0,3555.282923750519,77.35660000000026
42501370360000,2597.0565592527414,24.408361399208314,12,1.0,2644.1499106197384,23.916541666666564
42501370370000,2922.542601782951,25.347664971935288,13,1.0,2894.1295960928246,22.78280769230752
42501370380000,2599.8321149437875,20.987458504308133,17,1.0,2800.146020446278,22.272794117646995
42501370390000,3271.6858677612913,42.81902110937332,3,1.0,3272.589093133786,46.53166666666706
