uwi,lease_name,well_name,well_num,operator,rsv_cat,bench,first_prod_date,comp_date,hole_direction,surface_lat,surface_lon
42317424140000,ZEUS 7-6 UNIT 2,ZEUS 7-6 UNIT 2 262,262,FANG,01PDP,WCB,2020-01-01,2020-01-30,H,32.39655303955078,-101.73919677734375
42317427660000,MABEE 318U,MABEE 318U 11HD,11HD,OVV,01PDP,JM,2020-05-01,2020-05-19,H,32.363426208496094,-102.14078521728516
42317422860000,BIGTOOTH MAPLE H,BIGTOOTH MAPLE H 13HB,13HB,OXY,01PDP,WCB,2020-03-01,2020-03-08,H,32.327537536621094,-101.71614837646484
42317421280000,CASSIDY UNIT 2,CASSIDY UNIT 2 3066DH,3066DH,XOM,01PDP,Dean,2020-09-01,2020-09-19,H,32.294246673583984,-101.7734375
42317416020000,FORTRESS C1,FORTRESS C1 04DN,04DN,FANG,01PDP,Dean,2019-05-01,2019-05-07,H,32.35177993774414,-101.96888732910156
42317421050000,CYPERT 57-51 UNIT 2,CYPERT 57-51 UNIT 2 272,272,FANG,01PDP,WCB,2019-10-01,2019-10-11,H,32.397483825683594,-101.72462463378906
42317417970000,STRAIN 20 UNIT 2,STRAIN 20 UNIT 2 2075JH,2075JH,XOM,01PDP,JM,2019-12-01,2019-12-01,H,32.2681884765625,-101.7835693359375
42317415830000,CURTIS RANCH SOUTH,CURTIS RANCH SOUTH 223US,223US,OXY,01PDP,LSS,2019-04-01,2019-04-08,H,32.092674255371094,-102.10211181640625
42317414810000,SCHARBAUER,SCHARBAUER 209HL,209HL,CIVI,01PDP,LSS,2019-03-01,2019-04-20,H,32.230445861816406,-102.07760620117188
42317413040000,HN 249X,HN 249X 10HF,10HF,OVV,01PDP,LSS,2018-08-01,2018-08-13,H,32.393577575683594,-102.12981414794922
42317414780100,SCHARBAUER,SCHARBAUER 109HB,109HB,CIVI,01PDP,WCB,2019-03-01,2019-04-19,H,32.230289459228516,-102.07755279541016
42317403420000,LENORAH UNIT 2,LENORAH UNIT 2 0625SH,0625SH,XOM,01PDP,LSS,2017-05-01,2017-05-22,H,32.26002883911133,-101.7991943359375
42317409600000,PEELER A,PEELER A 10SA,10SA,FANG,01PDP,LSS,2018-03-01,2018-03-20,H,32.35483169555664,-101.9566650390625
42317409320000,UNIVERSITY LANDS 2631,UNIVERSITY LANDS 2631 02MA,02MA,FANG,01PDP,MSS,2018-05-01,2018-05-04,H,32.36991500854492,-102.18498992919922
42317405440100,UNIVERSITY 7-2730,UNIVERSITY 7-2730 N 05SC,N 05SC,FANG,01PDP,LSS,2017-05-01,2017-06-17,H,32.37326431274414,-102.1703872680664
42317403510000,SCHARBAUER RANCH,SCHARBAUER RANCH 3162H,3162H,XOM,01PDP,LSS,2016-09-01,2016-09-19,H,32.26926803588867,-102.14693450927734
42317406830000,COLE 36-2406 AL 3,COLE 36-2406 AL 3 N 16WA,N 16WA,FANG,01PDP,WCA,2017-06-01,2017-06-28,H,32.3709716796875,-101.95053100585938
42317409010000,TEXACO-MCMURRY B 60,TEXACO-MCMURRY B 60 206HL,206HL,CIVI,01PDP,LSS,2018-01-01,2018-02-13,H,32.211055755615234,-101.76254272460938
42317410770000,HOLT RANCH 3-13 (ALLOCATION-4SH),HOLT RANCH 3-13 (ALLOCATION-4SH) 8LL,8LL,FANG,01PDP,LSS,2018-06-01,2018-06-23,H,32.419246673583984,-102.12750244140625
42317406480000,TIGER UNIT SN 245-252,TIGER UNIT SN 245-252 804H,804H,FANG,01PDP,JM,2017-11-01,2018-01-01,H,32.391395568847656,-101.97197723388672
42317405240100,UNIVERSITY 7-0213,UNIVERSITY 7-0213 N 04SA,N 04SA,FANG,01PDP,LSS,2017-02-01,2017-04-01,H,32.41438293457031,-102.18292999267578
42317398370000,KIMBERLY,KIMBERLY 704WA,704WA,FANG,01PDP,WCA,2016-08-01,2016-08-13,H,32.14716339111328,-102.19389343261719
42317401330000,JONES-HOLTON,JONES-HOLTON 601H,601H,FANG,01PDP,MSS,2015-08-01,2015-09-03,H,32.37601852416992,-102.01040649414062
42317397200000,JOHNSON RANCH,JOHNSON RANCH 1022WB,1022WB,COP,01PDP,WCB,2015-05-01,2015-06-20,H,32.16661071777344,-102.139892578125
42317402450000,DOROTHY FAYE K,DOROTHY FAYE K H602C,H602C,OVV,01PDP,LSS,2015-10-01,2015-11-13,H,32.315120697021484,-102.16717529296875
42317425320000,HNE 249S,HNE 249S R 4HC,R 4HC,OVV,01PDP,MSS,2019-11-01,2019-11-02,H,32.399436950683594,-102.10618591308594
42317428790000,FRANCES 12-1-C,FRANCES 12-1-C 4406H,4406H,XOM,01PDP,WCB,2020-09-01,2020-09-09,H,32.14390182495117,-101.7831802368164
42317429410000,MABEE BREEDLOVE R,MABEE BREEDLOVE R 2407WA,2407WA,FANG,01PDP,WCA,2020-09-01,2020-09-27,H,32.4397087097168,-102.13078308105469
42317417730000,LIBERTY BELLE 23-18 UNIT 2,LIBERTY BELLE 23-18 UNIT 2 282,282,FANG,01PDP,WCB,2019-08-01,2019-08-09,H,32.32474136352539,-101.79061889648438
42317419150000,SCHARBAUER,SCHARBAUER 104HB,104HB,CIVI,01PDP,WCB,2019-12-01,2019-09-03,H,32.22873306274414,-102.08837890625
42317417260000,VISERION UNIT 1,VISERION UNIT 1 4712AH,4712AH,XOM,01PDP,WCA,2019-06-01,2019-06-04,H,32.310264587402344,-101.85798645019531
42317420870000,SHORTES 40 UNIT,SHORTES 40 UNIT 4LS,4LS,FANG,01PDP,LSS,2020-03-01,2020-02-28,H,32.44794464111328,-101.71044158935547
42317418530000,AMOCO-HOLT,AMOCO-HOLT 16UL,16UL,FANG,01PDP,LSS,2019-07-01,2019-07-02,H,32.42392349243164,-102.11857604980469
42317421340100,CASSIDY UNIT 2,CASSIDY UNIT 2 3067DH,3067DH,XOM,01PDP,Dean,2020-08-01,2020-08-15,H,32.29488754272461,-101.77059173583984
42317421310000,CASSIDY UNIT 2,CASSIDY UNIT 2 3027SH,3027SH,XOM,01PDP,LSS,2020-07-01,2020-07-18,H,32.29484558105469,-101.77076721191406
42317421030100,CYPERT 57-51 UNIT 2,CYPERT 57-51 UNIT 2 271,271,FANG,01PDP,WCA,2019-10-01,2019-10-12,H,32.39752197265625,-101.72447204589844
42317421710000,WASHINGTON,WASHINGTON 201,201,FANG,01PDP,WCB,2019-09-01,2019-09-17,H,32.1125602722168,-101.79442596435547
42317412160000,KIMBERLY A,KIMBERLY A 2001LS,2001LS,FANG,01PDP,LSS,2019-10-01,2019-10-28,H,32.119712829589844,-102.16236877441406
42317413760000,TIGER UNIT SN 245-252,TIGER UNIT SN 245-252 607H,607H,FANG,01PDP,MSS,2018-11-01,2018-10-11,H,32.391754150390625,-101.9636001586914
42317413790000,TIGER UNIT SN 245-252,TIGER UNIT SN 245-252 5508H,5508H,FANG,01PDP,LSS,2018-10-01,2018-10-15,H,32.394954681396484,-101.96092987060547
42317412670000,UNIVERSITY 7-28 PU,UNIVERSITY 7-28 PU 103H,103H,XOM,01PDP,LSS,2018-10-01,2018-10-14,H,32.4019775390625,-102.17040252685547
42317408070000,STRAIN RANCH 12-1,STRAIN RANCH 12-1 4215H,4215H,XOM,01PDP,WCA,2017-10-01,2017-10-20,H,32.26274490356445,-101.81232452392578
42317403440000,LENORAH UNIT 2,LENORAH UNIT 2 0616AH,0616AH,XOM,01PDP,WCA,2017-05-01,2017-05-10,H,32.260398864746094,-101.79753112792969
42317405840100,MABEE 13-24SL UNIT 2,MABEE 13-24SL UNIT 2 7UA,7UA,FANG,01PDP,WCB,2017-06-01,2017-06-21,H,32.09881591796875,-101.9869613647461
42317405500000,SALE RANCH 23I,SALE RANCH 23I 9H,9H,XOM,01PDP,WCA,2017-06-01,2017-07-25,H,32.218162536621094,-101.9333267211914
42317409490000,HOLCOMB 39-40,HOLCOMB 39-40 211,211,FANG,01PDP,WCB,2018-03-01,2018-03-17,H,32.43058395385742,-101.8475341796875
42317404910000,SALE RANCH 15F,SALE RANCH 15F 6H,6H,XOM,01PDP,WCB,2017-11-01,2017-11-08,H,32.2157096862793,-101.94071960449219
42317407840000,COX 12-9 UNIT 1,COX 12-9 UNIT 1 222,222,FANG,01PDP,WCB,2017-08-01,2017-08-11,H,32.30538558959961,-102.00596618652344
42317411330000,SCHARBAUER NORTHEAST,SCHARBAUER NORTHEAST 1117H,1117H,XOM,01PDP,LSS,2018-07-01,2018-07-20,H,32.286460876464844,-102.0724105834961
42317408680000,LUMBERGH,LUMBERGH 2527LS,2527LS,SM,01PDP,LSS,2018-01-01,2018-01-26,H,32.253658294677734,-101.70618438720703
42317406930000,PATRICIA UNIT 1,PATRICIA UNIT 1 4841SH,4841SH,XOM,01PDP,LSS,2018-03-01,2018-03-09,H,32.313655853271484,-101.84303283691406
42317398510000,JOHNSON RANCH,JOHNSON RANCH 1020H,1020H,COP,01PDP,LSS,2016-12-01,2017-01-14,H,32.16511535644531,-102.14643096923828
