well_i,avg_hz_spacing_ft,avg_vt_spacing_ft,neighbors_considered,adjacency_coverage_i_pct
42003471100000,899.1878716484912,29.360000000000582,1,0.9970620921135943
42003471160000,,,0,
42003471170000,1239.2006171937276,19.215000000000146,1,0.9731333033289391
42003471180100,1239.2081439166022,19.215000000000146,1,0.9988671499323653
42003471260000,,,0,
42003471770000,884.8648505840641,24.641576596042466,2,1.0
42003471830000,,,0,
42003471920000,1106.6004404436087,40.809999999999484,1,1.0
42003471970000,,,0,
42003472060000,991.911214225956,98.7513461628839,2,1.0
42003472070000,1274.3002206788283,51.57000000000062,1,0.9999425433830396
42003472140000,1140.8048247239572,18.220000000000255,1,0.8780038479566884
42003472190000,970.2514452285802,38.63500000000022,1,0.9221054193589782
42003472210000,1097.1047536877409,3.7049999999981083,1,0.7662680327095945
42003472430000,1143.3932715858914,60.36803587531457,3,1.0
42003472490000,,,0,
42003472710000,870.8192381030909,48.534999999999854,1,0.6889739432319179
42003472790000,,,0,
42003472840000,,,0,
42003472910000,893.9806116804052,15.160000000000764,1,0.9917504656357224
42003472960000,,,0,
42003473130000,,,0,
42003473240000,1127.858972216298,13.524999999999636,1,0.9925564072659094
42003473400000,,,0,
42003473410000,,,0,
42003473520000,860.0627550867445,13.520000000000435,1,0.3329807552447213
42003473640000,550.2429876816218,46.73999999999978,1,0.9999999999999999
42003473650000,,,0,
42003473710000,788.2838564893211,20.885146265035562,3,1.0
42003473730000,706.1102127338837,26.56734584848173,5,1.0
42003473740000,,,0,
42003473750000,,,0,
42003473890000,,,0,
42003473970000,726.0117266734314,162.0884326539037,2,1.0
42003473980000,1084.152329231536,55.725000000000364,1,0.9996387986688042
42003473990000,,,0,
42003474130000,,,0,
42003474200000,1005.453099395148,138.11499999999796,1,0.9999999999999998
42003474230000,,,0,
42003474240000,,,0,
42003474290000,1086.491994547864,48.28957531724222,2,1.0
42003474300000,,,0,
42003474310000,727.2666707928896,159.88999999999942,1,0.9883653263408672
42003474350000,,,0,
42003474360000,960.0356899536071,8.51238388736307,2,1.0
42003474370000,1023.5923151437847,9.684585136709437,2,1.0
42003474550000,850.8923472258882,3.2950000000000728,1,0.9975233574781286
42003474570000,672.2479407086927,18.634408370793256,2,1.0
42003474580000,796.4985307113932,24.15414120473607,2,1.0
42003474640000,,,0,
42003474760000,927.4831554011982,9.122441642754483,2,1.0
42003474780000,,,0,
42003474790000,839.0284618492983,6.036238248526957,2,1.0
42003474820000,899.1583674654134,13.944886406426013,2,1.0
42003474840000,885.5240386838686,16.7842118087768,2,1.0
42003474880000,1008.9818113085323,110.11999999999898,1,0.898894315265461
42003474890000,891.4426023078431,37.55999999999767,1,0.35647311046419705
42003475000000,,,0,
42003475120000,668.5324686921266,192.09999999999854,1,0.9950275740920644
42003475210000,,,0,
42003475230000,,,0,
42003475320000,999.5672300671291,18.976363721903525,4,1.0
42003475330000,,,0,
42003475330100,913.5069257342562,10.674849996981203,3,1.0
42003475340100,,,0,
42003475360000,891.2849403381412,17.073811999383867,2,1.0
42003475500000,903.7730411802926,20.06396104452232,2,1.0
42003475510000,812.3636542304984,2.0799999999999272,1,0.9790106787739429
42003475570000,880.108113627102,35.53410625997824,2,1.0
42003475610000,935.431601301751,23.988002420780848,2,1.0
42003475620000,874.1019151014799,2.443805072355915,2,1.0
42003475700000,733.9032395119343,12.600000000000364,1,0.992313478526708
42003475710000,,,0,
42003475730100,668.4849309881589,192.09999999999854,1,0.9709619038928465
42003475740000,865.9938978669745,149.01692109664086,2,1.0
42003475800000,1262.4799424520165,51.64000000000124,1,0.7319863632733103
42003475840000,922.0661101557896,121.32499999999982,1,0.5954221411727777
42003475900000,929.2509958355758,11.103214264079671,2,1.0
42003475960000,944.3796503769989,18.395126811803273,2,1.0
42003475990100,48.26817402507625,5.289500000000771,1,0.8699210071583485
42003475990200,48.273686573847286,5.289500000000771,1,0.9992303067649261
42003476010000,893.6362908060771,4.899999999999635,2,1.0
42003476030000,1090.0314258151113,98.73499999999967,1,0.8215449830269341
42003476060000,1230.011595439769,24.840000000000146,1,0.4858720783067839
42003476080000,945.8220053083766,19.6258925531149,2,1.0
42003476090000,830.6924883565702,8.064261040311637,2,1.0
42003476110000,900.0292776860226,15.194068402253952,3,1.0
42003476120000,901.4896127878118,21.367066187593817,2,1.0
42003476160000,898.432690493188,20.935890874275433,2,1.0
42003476190000,908.8637944170044,14.381491747625438,2,1.0
42003476240000,1255.6240250450662,56.3904999999977,1,0.9358423562264208
42003476250000,954.6728290208512,65.01453931447449,2,0.8075974082959375
42003476260000,795.1025023968338,12.75000000000091,1,0.4473876400946324
42003476330000,,,0,
42003476380000,716.4804081038016,24.205647741645464,2,1.0
42003476390000,822.6661002336738,9.163530096051252,2,1.0
42003476400000,929.7296222834519,21.352290071125033,2,1.0
42003476440000,1127.8695973290392,13.524999999999634,1,0.9870332831679359
42003476460000,890.8012059293787,12.410350691964545,2,1.0
42003476470000,777.99648317714,3.7300000000004725,1,0.9950817752099613
42003476540000,901.0331418879534,8.514999999999418,1,0.9964069600301325
42003476550000,888.9065496707758,39.749999999999545,2,1.0
42003476610000,,,0,
42003476620000,1184.8182346833225,9.474999999999454,1,0.9939556312536015
42003476630000,1184.8180867773528,9.474999999999454,1,0.9966678928071081
42003476640000,657.4711478501886,16.205636235711363,2,1.0
42003476700000,611.4412611153465,13.035000000000764,1,0.4636511602458856
42003476730000,762.6103831288754,8.5600000000004,1,0.998998165329572
42003476740000,762.6141782220229,8.5600000000004,1,0.9931261163865255
42003476760100,,,0,
42003476810000,1013.3646264122898,13.617022410771066,2,1.0
42003476820100,360.5300073924778,14.367566934211517,2,1.0
42003476820300,426.02029442150416,25.354680276124096,2,1.0
42003477280000,742.263004962493,14.019999999998618,1,0.9848033268207044
42003477300000,1065.8333550834973,0.014999999999417923,1,0.9869986496512423
42003477320000,866.8287935430984,5.713013384590413,2,1.0
42003477330000,1270.2687994718897,13.725000000000364,1,0.9964177843124447
42003477340000,1270.2729290572113,13.725000000000364,1,0.9798540579059359
42003477350000,742.5021666171847,8.716473754794224,2,1.0
42003477370100,803.9811328626816,20.970000000001164,1,0.9691101393304445
42003477380000,792.4553095122778,5.152153172794182,2,1.0
42003477390000,773.031349434526,17.48432949583032,2,1.0
42003477400400,,,0,
42003477410000,788.750675683286,6.969999999999345,1,0.9861915991898229
42003477420000,1056.6227412165204,7.4650000000001455,1,1.0
42003477430000,828.1293764242906,12.614999999999782,1,0.9999838108068239
42003477440000,921.1315423504825,0.31999999999970896,1,0.991235449792279
42003477450000,921.1430465741305,0.31999999999970896,1,0.9928836210928215
42003477460000,1056.6322889546618,7.4650000000001455,1,0.9906660867626995
42003477470000,828.1294128194951,12.614999999999782,1,0.9407615889793631
42003477570000,882.5499710508192,76.91248749448762,4,1.0
42003477600000,11.446816777722878,34.05000000000109,1,1.0
42003477600100,23.075570038916897,100.31347366130952,2,1.0
42003477600200,39.199947646903084,163.75097413530435,2,0.692310327377619
42003477710000,782.1691293243475,39.092105673886216,4,1.0
42003477770000,,,0,
42003477780000,1173.4482257942327,11.325818158293268,2,1.0
42003477790000,1181.4597377074442,16.514999999999418,1,0.9798881207215241
