well_i,wps_cardinal,wps_iframe,wps_corridor,anisotropy_ratio,anisotropy_delta,azimuth_deg,mid_x,mid_y
42003453310100,17,18,12,1.0588235294117647,1.0,166.8767908949668,2319736.4673873656,11676326.881179513
42003453310200,11,10,12,0.9090909090909091,-1.0,167.1730805667317,2320235.905834388,11674023.30347434
42003453320100,8,7,7,0.875,-1.0,345.90405165117454,2318757.1605596575,11680937.971775616
42003453330000,9,8,13,0.8888888888888888,-1.0,347.4155907928227,2317824.26147635,11680079.710502714
42003453830000,10,9,10,0.9,-1.0,167.36943110706974,2321495.6907637296,11674473.086592536
42003455170000,3,3,3,1.0,0.0,162.52412199389062,2333806.082622179,11762680.634476066
42003455200100,1,1,1,1.0,0.0,345.7903275168837,2316852.941525817,11661560.124119569
42003455230000,1,1,1,1.0,0.0,167.09045969830137,2318021.9884325797,11656693.464126522
42003455260000,8,8,8,1.0,0.0,345.7390469023368,2315318.6455239207,11679503.592039265
42003455270000,8,7,7,0.875,-1.0,343.3223435603507,2316189.2487341436,11679862.183561035
42003455340000,5,4,4,0.8,-1.0,344.68852715376516,2311959.4606758393,11682626.24571576
42003455350000,8,6,6,0.75,-2.0,343.9665189365624,2377179.65841861,11769381.43932898
42003455530000,9,8,6,0.8888888888888888,-1.0,256.12834460561896,2376373.158764919,11785007.111785151
42003455560000,6,5,5,0.8333333333333334,-1.0,162.29375281325633,2338725.7492484795,11762216.238566864
42003455670000,5,5,5,1.0,0.0,159.8408296590648,2370465.6272717053,11772331.52006783
42003455740000,11,12,9,1.0909090909090908,1.0,256.97293821519776,2371663.5928897006,11782170.559925914
42003455960000,5,5,5,1.0,0.0,165.2484593508516,2312888.5885919714,11688409.81835222
42003456210000,5,4,4,0.8,-1.0,164.919024011729,2311708.472601377,11687968.48166733
42003456220000,8,8,7,1.0,0.0,75.85251450925111,2360794.5383283766,11782091.22939684
42003456230000,9,8,7,0.8888888888888888,-1.0,75.79610413075262,2360026.8728650277,11784607.615094556
42003456290000,6,8,8,1.3333333333333333,2.0,343.40415797876096,2376847.6965892324,11778575.071417404
42003456297000,6,6,8,1.0,0.0,345.82516181775725,2376950.7366513424,11778849.222152174
42003456300000,7,6,6,0.8571428571428571,-1.0,345.48495068345807,2316906.2901457744,11700444.93505364
42003456310000,9,9,9,1.0,0.0,345.27388756782705,2318076.7390086167,11700793.143598031
42003456320000,7,6,6,0.8571428571428571,-1.0,165.9513586465351,2318092.9588455716,11695295.972226895
